Title,Format,Genre/Tags,Suggested Age,Notes
My Dress-Up Darling,Manga,"Romcom, Cosplay",Older Teen 15+,"Cosplay focus, some fanservice"
Skip and Loafer,Manga,"School, Slice of Life",Teen 13+,"Wholesome, realistic youth life"
A Sign of Affection,Manga,"Romance, Disability",Teen 13+,"Deaf heroine, gentle romance"
The Dangers in My Heart,Manga,"Romcom, School",Teen 13+,Growth from edgy loner to sweet romance
Bloom Into You,Manga,"Yuri, Romance",Teen 13+,Thoughtful coming-of-age yuri
Given,Manga,"BL, Music",Older Teen 15+,"BL band story, grief & love"
Sasaki and Miyano,Manga,"BL, School",Teen 13+,"Soft, meta-BL school romance"
The Angel Next Door Spoils Me Rotten,LN+Manga,"Romcom, Neighbors",Teen 13+,Popular light novel with anime
Rascal Does Not Dream of Bunny Girl Senpai,LN+Manga,"Romance, Supernatural",Older Teen 15+,"Dialogue-heavy, emotional arcs"
Toradora!,LN+Manga,"Romcom, School",Teen 13+,Classic tsundere romance
Your Lie in April,Manga,"Drama, Music, Romance",Teen 13+,"Very emotional, music & grief"
A Silent Voice,Manga,"Drama, School, Disability",Teen 13+,"Bullying, redemption, sign language"
March Comes in Like a Lion,Manga,"Drama, Slice of Life",Older Teen 15+,"Shogi, depression, healing"
Oshi no Ko,Manga,"Idol, Drama, Mystery",Older Teen 16+,"Showbiz darkness, reincarnation twist"
"My Youth Romantic Comedy Is Wrong, As I Expected",LN+Manga,"Romcom, Philosophy",Older Teen 15+,Cynical but thoughtful
Rent-A-Girlfriend,Manga,Romcom,Older Teen 16+,"Messy relationships, fanservice"
"More Than a Married Couple, But Not Lovers",Manga,Romcom,Older Teen 16+,"Cohabitation, fanservice"
The Quintessential Quintuplets,Manga,"Romcom, Harem",Teen 13+,Tutor & five sisters
Nisekoi,Manga,"Romcom, School",Teen 13+,Fake relationship hijinks
Kimi ni Todoke,Manga,"Shoujo, Romance",Teen 13+,Classic shy-girl romance
Fruits Basket,Manga,"Shoujo, Fantasy Romance",Teen 13+,"Zodiac curse, emotional family themes"
Sword Art Online,LN+Manga,"Isekai, VRMMO",Teen 13+,Huge light-novel franchise
Re:Zero − Starting Life in Another World,LN+Manga,"Isekai, Psychological",Older Teen 16+,"Time loop, darker emotional beats"
Konosuba: God’s Blessing on This Wonderful World!,LN+Manga,"Isekai, Comedy",Teen 13+,"Parody isekai, very popular with teens"
The Rising of the Shield Hero,LN+Manga,"Isekai, Dark Fantasy",Older Teen 16+,Accusations & revenge themes
No Game No Life,LN+Manga,"Fantasy, Games",Teen 13+,Sibling geniuses in world ruled by games
The Eminence in Shadow,LN+Manga,"Isekai, Chuunibyou",Teen 13+,Edgy anti-hero parody
Classroom of the Elite,LN+Manga,"Psychological, School",Older Teen 16+,Manipulation & meritocratic school
The Irregular at Magic High School,LN+Manga,"Magic, School",Teen 13+,Technomagic high school battles
Mushoku Tensei: Jobless Reincarnation,LN+Manga,"Isekai, Fantasy",Older Teen 17+,Very influential but more mature
Jobless Reincarnation spin-offs,LN+Manga,Fantasy,Older Teen 17+,Related works also popular
The Devil is a Part-Timer!,LN+Manga,"Comedy, Slice of Life",Teen 13+,Demon lord working at fast food
Spice and Wolf,LN+Manga,"Fantasy, Economics",Teen 13+,Merchant & wolf deity road story
Frieren: Beyond Journey’s End (LN edition),LN,Fantasy,Teen 13+,Light-novel version / tie-ins
Seraph of the End,Manga,"Dark Fantasy, Vampires",Older Teen 15+,Post-apocalyptic battles
Attack on Titan,Manga,"Dark Fantasy, War",Older Teen 16+,"Very intense themes, but extremely influential"
Vinland Saga,Manga,"Historical, Viking",Older Teen 16+,Violence & deep character growth
Black Butler,Manga,"Dark Fantasy, Victorian",Teen 13+,"Gothic style, mystery"
Soul Eater,Manga,"Fantasy, Action",Teen 13+,"Stylish action, older but still popular"
The Ancient Magus’ Bride,Manga,"Fantasy, Romance",Older Teen 15+,"Folklore, slow-burn romance"
To Your Eternity,Manga,"Fantasy, Drama",Older Teen 15+,Immortal being learning humanity
Made in Abyss,Manga,"Dark Fantasy, Adventure",Mature 17+,Very dark & disturbing content despite cute art
Ranking of Kings,Manga,"Fantasy, Adventure",Teen 13+,Deaf prince’s growth story
Yona of the Dawn,Manga,"Fantasy, Shoujo",Teen 13+,Princess turned warrior journey
Snow White with the Red Hair,Manga,"Fantasy, Romance",Teen 13+,"Calm, wholesome romance"
Laid-Back Camp (Yuru Camp△),Manga,"Slice of Life, Camping",Teen 13+,Cozy outdoor-girls series
Non Non Biyori,Manga,"Slice of Life, Countryside",Teen 13+,Quiet rural life comedy
Barakamon,Manga,"Slice of Life, Calligraphy",Teen 13+,"Adult artist + village kids, healing story"
Silver Spoon,Manga,"School, Agriculture",Teen 13+,"By FMA author, about agri high school"
Food Wars!: Shokugeki no Soma,Manga,"Cooking, Battle",Older Teen 16+,Exaggerated food & some fanservice
Welcome to the Ballroom,Manga,Sports (Dance),Teen 13+,Competitive ballroom dancing
Ace of Diamond,Manga,Sports (Baseball),Teen 13+,Classic baseball with team drama
Yawara! (older but still read),Manga,Sports (Judo),Teen 13+,Judo shoujo classic still rediscovered
Chihayafuru,Manga,Sports (Karuta),Teen 13+,Karuta + romance + growth
Kuroko’s Basketball,Manga,Sports (Basketball),Teen 13+,Very popular sports series
Yowamushi Pedal,Manga,Sports (Cycling),Teen 13+,Cycling & otaku protagonist
Monthly Girls’ Nozaki-kun,Manga,"Comedy, 4-koma",Teen 13+,Girl discovers crush is shoujo-manga artist
Nichijou (My Ordinary Life),Manga,Absurd Comedy,Teen 13+,"Surreal gag manga, meme favorite"
Grand Blue Dreaming,Manga,College Comedy,Older Teen 17+,Heavy drinking jokes & ecchi humor
K-On!,Manga,"Music, Slice of Life",Teen 13+,"Light music club, moe classic"
The Way of the Househusband,Manga,"Comedy, Slice of Life",Teen 13+,Ex-yakuza as homemaker
Beastars,Manga,"Drama, Anthropomorphic",Older Teen 16+,Complex social & psychological themes
Mob Psycho 100,Manga,"Supernatural, Comedy",Teen 13+,Psychic boy & emotional growth
One Punch Man,Manga,Superhero Parody,Teen 13+,Overpowered hero comedy
JoJo’s Bizarre Adventure,Manga,"Action, Supernatural",Older Teen 16+,"Iconic, stylish, can be violent"
Gintama,Manga,"Comedy, Action",Teen 13+,Parody-heavy samurai sci-fi
Detective Conan (Case Closed),Manga,Mystery,Teen 13+,Long-running detective series
Bungo Stray Dogs,Manga,"Action, Supernatural",Teen 13+,Authors as superpowered characters
Noragami,Manga,"Action, Supernatural",Teen 13+,Stray god & urban fantasy
Natsume’s Book of Friends,Manga,"Supernatural, Slice of Life",Teen 13+,"Spirits, kindness, gentle tone"
